feature_id,family,target,fold,system,name,ensemble,threshold,acc,prec,rec,f1,tn,fp,fn,tp,roc_auc,pr_auc,train_time,infer_time
SkipGram_compact_dim64_win3,SkipGram,S8,3,single,LR,-,0.3799332268536091,0.7469450101832994,0.6299392097264438,0.9880810488676997,0.7693735498839908,638.0,487.0,10.0,829.0,0.8862730764137201,0.7588720653616932,0.0,0.00022912025451660156
SkipGram_compact_dim64_win3,SkipGram,S8,3,single,KNN,-,0.4000000059604645,0.8727087576374746,0.780743565300286,0.9761620977353993,0.8675847457627118,895.0,230.0,20.0,819.0,0.9663387630777381,0.9364262036653709,0.0,0.01854991912841797
SkipGram_compact_dim64_win3,SkipGram,S8,3,single,DT,-,0.9342100620269775,0.8869653767820774,0.8285410010649628,0.9272943980929678,0.875140607424072,964.0,161.0,61.0,778.0,0.8964942391736195,0.8070070864257977,0.0,0.0001842975616455078
SkipGram_compact_dim64_win3,SkipGram,S8,3,single,RF,-,0.6700000166893005,0.9378818737270875,0.9041713641488163,0.9558998808104887,0.929316338354577,1040.0,85.0,37.0,802.0,0.9836254800688651,0.9722842207361259,0.0,0.058097124099731445
SkipGram_compact_dim64_win3,SkipGram,S8,3,single,LinearSVC,-,0.7071700096130371,0.7886965376782077,0.6726384364820847,0.9845053635280095,0.799225931301403,723.0,402.0,13.0,826.0,0.9563300225135745,0.9051946078192393,0.0,0.0009279251098632812
SkipGram_compact_dim64_win3,SkipGram,S8,3,within_feature,LR+KNN+DT+RF+LinearSVC,All_Hard,,0.8976578411405295,0.814595660749507,0.9845053635280095,0.8915272531030761,937.0,188.0,13.0,826.0,,,0.0,0.07801961898803711
SkipGram_compact_dim64_win3,SkipGram,S8,3,within_feature,LR+KNN+DT+RF+LinearSVC,All_Soft,0.4122187070548535,0.9394093686354379,0.8956043956043956,0.9713945172824792,0.931961120640366,1030.0,95.0,24.0,815.0,0.9844078929943053,0.9675691727317813,0.0,0.1095740795135498
SkipGram_compact_dim64_win3,SkipGram,S8,3,within_feature,LR+KNN+DT+RF+LinearSVC,All_WeightedSoft,0.4163002006709576,0.9409368635437881,0.8994475138121547,0.9702026221692491,0.9334862385321101,1034.0,91.0,25.0,814.0,0.9849217322208978,0.9687346319368889,0.0,0.10917997360229492
SkipGram_compact_dim64_win3,SkipGram,S8,3,within_feature,RF+KNN,Best2_Hard,,0.8772912423625254,0.7820754716981132,0.9880810488676997,0.8730911005792522,894.0,231.0,10.0,829.0,,,0.0,0.07667756080627441
SkipGram_compact_dim64_win3,SkipGram,S8,3,within_feature,RF+KNN,Best2_Soft,0.42869675159454346,0.9327902240325866,0.9086705202312139,0.9368295589988082,0.9225352112676056,1046.0,79.0,53.0,786.0,0.9840497947291751,0.9743638556632361,0.0,0.08996796607971191
SkipGram_compact_dim64_win3,SkipGram,S8,3,within_feature,RF+KNN,Best2_WeightedSoft,0.4303905665874481,0.9327902240325866,0.9086705202312139,0.9368295589988082,0.9225352112676056,1046.0,79.0,53.0,786.0,0.984058270427758,0.9743684465361965,0.0,0.08995914459228516
SkipGram_compact_dim64_win3,SkipGram,S8,3,within_feature,DT+LR,Fast2_Hard,,0.7240325865580448,0.6086320409656182,0.9916567342073898,0.7543064369900272,590.0,535.0,7.0,832.0,,,0.0,0.0004425048828125
SkipGram_compact_dim64_win3,SkipGram,S8,3,within_feature,DT+LR,Fast2_Soft,0.338761131465435,0.8564154786150713,0.7644824311490979,0.9594755661501788,0.8509513742071881,877.0,248.0,34.0,805.0,0.9538063832604954,0.9019815109156119,0.0,0.032265663146972656
SkipGram_compact_dim64_win3,SkipGram,S8,3,within_feature,DT+LR,Fast2_WeightedSoft,0.3378668144345284,0.8564154786150713,0.7644824311490979,0.9594755661501788,0.8509513742071881,877.0,248.0,34.0,805.0,0.9537809561647463,0.9019850040286639,0.0,0.030926227569580078
SkipGram_compact_dim64_win3,SkipGram,S8,4,single,LR,-,0.43162033557891843,0.8074375955170657,0.6935348446683459,0.9845053635280095,0.8137931034482758,759.0,365.0,13.0,826.0,0.8999131528382798,0.7741517464691646,0.0,0.00020241737365722656
SkipGram_compact_dim64_win3,SkipGram,S8,4,single,KNN,-,0.6000000238418579,0.9093224656138563,0.8460732984293193,0.9630512514898689,0.9007803790412486,977.0,147.0,31.0,808.0,0.9627601703434439,0.924239308057408,0.0,0.018524646759033203
SkipGram_compact_dim64_win3,SkipGram,S8,4,single,DT,-,0.9342100620269775,0.8935303107488538,0.8492239467849224,0.9129916567342073,0.8799540493968984,988.0,136.0,73.0,766.0,0.8982748272600409,0.8166094493854783,0.0,0.00018358230590820312
SkipGram_compact_dim64_win3,SkipGram,S8,4,single,RF,-,0.6899999976158142,0.9414161996943454,0.9228971962616822,0.9415971394517283,0.9321533923303835,1058.0,66.0,49.0,790.0,0.9864989247494262,0.9759319136346146,0.0,0.023456335067749023
SkipGram_compact_dim64_win3,SkipGram,S8,4,single,LinearSVC,-,0.723250150680542,0.8150789607743251,0.7023809523809523,0.9845053635280095,0.8198511166253102,774.0,350.0,13.0,826.0,0.9577921733634771,0.9012398755630963,0.0,0.0009202957153320312
