combo,fids,source,target,fold,system,n_participants,fusion,threshold_mode,acc,prec,rec,f1,tn,fp,fn,tp,roc_auc,pr_auc,fpr,threshold
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold2,cross_feature,3,WeightedSoft,val_f1,0.5058555627846454,0.8923357664233577,0.2508978963571062,0.3916700040048058,1066,59,1460,489,0.8656655834901089,0.8853682273283894,0.052444444444444446,0.37499999999999994
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold2,cross_feature,3,Hard,fixed_05,0.3731294729993494,0.671875,0.022062596203181118,0.04272230501738698,1104,21,1906,43,0.568555270509093,0.6755837056219189,0.018666666666666668,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold2,cross_feature,3,Hard,val_f1,0.46584255042290174,0.8808933002481389,0.18214468958440225,0.3018707482993197,1077,48,1594,355,0.568555270509093,0.6755837056219189,0.042666666666666665,0.05
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold3,cross_feature,3,Soft,fixed_05,0.37247885491216653,0.6785714285714286,0.019497178040020522,0.03790523690773067,1107,18,1911,38,0.8618879197309162,0.8634744539629838,0.016,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold3,cross_feature,3,Soft,val_f1,0.3952504879635654,0.7083333333333334,0.07850179579271421,0.14133949191685913,1062,63,1796,153,0.8618879197309162,0.8634744539629838,0.056,0.3549999999999999
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold3,cross_feature,3,WeightedSoft,fixed_05,0.37247885491216653,0.6785714285714286,0.019497178040020522,0.03790523690773067,1107,18,1911,38,0.8636839404822987,0.8632313224140932,0.016,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold3,cross_feature,3,WeightedSoft,val_f1,0.3959011060507482,0.6885245901639344,0.086198050282196,0.15321477428180574,1049,76,1781,168,0.8636839404822987,0.8632313224140932,0.06755555555555555,0.33999999999999997
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold3,cross_feature,3,Hard,fixed_05,0.3718282368249837,0.6875,0.01693175987685993,0.033049574361542315,1110,15,1916,33,0.49422587081694314,0.6352914664689523,0.013333333333333334,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold3,cross_feature,3,Hard,val_f1,0.36890045543266103,0.5463917525773195,0.02719343252950231,0.05180840664711633,1081,44,1896,53,0.49422587081694314,0.6352914664689523,0.03911111111111111,0.05
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold4,cross_feature,3,Soft,fixed_05,0.373250894890986,0.7446808510638298,0.017957927142124165,0.03507014028056112,1112,12,1914,35,0.8774346366144514,0.8728920188278633,0.010676156583629894,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold4,cross_feature,3,Soft,val_f1,0.38106085258704847,0.6516129032258065,0.051821446895844024,0.09600760456273764,1070,54,1848,101,0.8774346366144514,0.8728920188278633,0.04804270462633452,0.35999999999999993
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold4,cross_feature,3,WeightedSoft,fixed_05,0.373250894890986,0.7446808510638298,0.017957927142124165,0.03507014028056112,1112,12,1914,35,0.8804346238330086,0.8720559647694149,0.010676156583629894,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold4,cross_feature,3,WeightedSoft,val_f1,0.3823625122030589,0.6758620689655173,0.050282195997947664,0.0936007640878701,1077,47,1851,98,0.8804346238330086,0.8720559647694149,0.04181494661921708,0.36499999999999994
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold4,cross_feature,3,Hard,fixed_05,0.3729254799869834,0.75,0.01693175987685993,0.03311590566984446,1113,11,1916,33,0.4937240833423108,0.6356919556752052,0.009786476868327402,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold4,cross_feature,3,Hard,val_f1,0.3680442564269443,0.5368421052631579,0.02616726526423807,0.049902152641878667,1080,44,1898,51,0.4937240833423108,0.6356919556752052,0.03914590747330961,0.05
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S2,fold0,cross_feature,3,Soft,fixed_05,0.2711578947368421,0.9752650176678446,0.138,0.24178712220762155,1104,21,5172,828,0.9556354074074074,0.9840080102805441,0.018666666666666668,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S2,fold0,cross_feature,3,Soft,val_f1,0.7607017543859649,0.984872431700158,0.727,0.8365135679355643,1058,67,1638,4362,0.9556354074074074,0.9840080102805441,0.059555555555555556,0.36499999999999994
