combo,source,fusion,threshold_mode,f1_mean,f1_std,prec_mean,rec_mean,roc_auc_mean,fpr_mean,threshold_mean,threshold_std
n2_x_n3,ENS_Best2_Soft,Soft,val_f1,0.6276339794472174,0.3287044758114997,0.9247154975475589,0.5621591518521326,0.9312708683176829,0.046629497825227365,0.34324999999999994,0.023846464017833885
n3_x_SG,ENS_Fast2_Soft,Hard,val_f1,0.6241221216250354,0.303575223076346,0.8967044807122664,0.556370126135408,0.754208860833128,0.06885599051008304,0.05,0.0
n2_x_SG,ENS_Fast2_Soft,Hard,val_f1,0.601170959662577,0.30937875545836685,0.8942728946776434,0.5347961619951555,0.7429568642233616,0.07010092922103597,0.05,0.0
n2_n3_SG,ENS_All_Soft,Hard,val_f1,0.5826169711659487,0.3475572488141008,0.9170795868645978,0.5177752609464742,0.7437834310353837,0.042184242783708976,0.05,0.0
n3_x_SG,ENS_All_Soft,Hard,val_f1,0.5786998538057413,0.3455264016704976,0.9178909907048105,0.5115028803868152,0.7404265124717243,0.041228647686832744,0.05,0.0
n2_x_SG,ENS_All_Soft,Hard,val_f1,0.5760797140390549,0.35120428414823074,0.9171386656367879,0.5118574024300513,0.7405983276697399,0.04102854883353104,0.05,0.0
n2_x_n3,ENS_Fast2_Soft,Hard,val_f1,0.564908885980244,0.3662831259657896,0.9077322442370207,0.49635436815895073,0.7362761670127754,0.029404982206405694,0.05,0.0
n2_n3_SG,ENS_Best2_Soft,Hard,val_f1,0.5610798329712161,0.35427708385474793,0.8952734113975275,0.4947734576935314,0.7333992026070929,0.04069557137208383,0.05,0.0
n3_x_SG,ENS_Best2_Soft,Hard,val_f1,0.5589934740813907,0.35339343106995513,0.8964684183210027,0.4912926856034113,0.7317205770152735,0.03962878608145512,0.05,0.0
n2_x_SG,ENS_Best2_Soft,Hard,val_f1,0.55489559069909,0.35367086482047116,0.8955227778649528,0.48741047210330174,0.7292879455115824,0.04020654408857256,0.05,0.0
n2_x_n3,ENS_All_Soft,Hard,val_f1,0.49961116493426,0.4099076597907487,0.8953314584500243,0.4459089271839282,0.7147298924268642,0.01871393831553974,0.05,0.0
n2_x_n3,ENS_Best2_Soft,Hard,val_f1,0.48486324347496057,0.41208630069539015,0.867708889099398,0.42911208196275474,0.7078555038222415,0.015335606959272441,0.05,0.0
